,City,NickName,Province,Sex,Signature
0,广州,shallavi,广东,2,保持学习
1,,许悦,,2,有种专四刷个优秀(っ? ?ω?? )っ
2,清远,就就  ??,广东,1,需要实习请查阅我朋友圈哈
3,,Robert,,1,
4,,许艳,,0,
5,,only.blue,,0,
6,,.,Nagano,1,Nos esse quasi nanos gigantium humeris insidientes.
7,Washington D.C.,琪慧,District of Columbia,2,陌上花开，可缓缓归矣
8,广州,周木兰,广东,2,
9,汕头,燕文?,广东,2,
10,广州,雅子」chan,广东,2,
11,,Colin,Fatima,1,
12,潮州,猫头鹰?陈晖,广东,1,慧极必伤，情深不寿，强则受辱，谦谦君子，温润如玉。
13,广州,刘海坤,广东,1,"2017天天向上<span class=""emoji emoji1f446""></span>"
14,湛江,小九,广东,2,会有那么一天，你活成自己最想要的样子，过去的伤痕变成勋章～ll
15,安庆,丛日,安徽,1,
16,东莞,常明（卢志光．全域设计）,广东,1,
17,,流昊,St.Gallen,1,——雪落不尽吾不归。
18,潮州,郑植钊^zzz,广东,1,世界很空，生活很咸。
19,广州,张蓉,广东,2,
20,东莞,陈浩然,广东,1,从此你要做一个不动声色的人了
21,潮州,林洽,广东,1,醉眼看人间，个个皆温柔
22,,莹77,,2,回忆已逝！
23,湛江,陈少勇,广东,1,
24,,铂涛 - 海的味道,,1,幸福的味道.....
25,广州,li,广东,0,远方咫尺
26,珠海,小倩,广东,2,"人生若只如初见,何事秋风悲画扇"
27,佛山,Spirit.,广东,1,
28,广州,非周的白阳,广东,1,唯有懦弱，不可原谅
29,广州,卢月婷律师,广东,2,
30,广州,小小碗、,广东,2,
31,湛江,晨星 ?,广东,2,你若安好，便是晴天！
32,,Daisy,,2,I am talking nonsense!
33,,Chris,,2,一切如常
34,,海贼王,,1,易水泱泱，故人已罔，何时能淡看兴亡？道阻且长，不归又何妨？
35,,虫工,,2,所谓世人，不就是你吗。
36,,超级学霸?,,1,
37,揭阳,燕璇,广东,2,干嘛点进来看我?
38,汕头,马梓力,广东,1,事在人为！！！
39,深圳,吴泽雄,广东,1,
40,,Bee,上海,2,不再觉得失去是舍不得
41,湛江,~~琴,广东,2,
42,广州,大海,广东,1,大家好才是真的好！ (你得，我得，点都得！)
43,,晨晨,Kampong Thum,2,小时候有过的梦想
44,广州,李儒,广东,1,那明星还不出现  累坏了  累坏了马鞍上的身手
45,湛江,暴风少年,广东,1,现在他们确实比我强，但我相信在不久的将来会打败他们。——姚明
46,东莞,杨闯,广东,2,索道
47,深圳,Amber...?,广东,2,"<span class=""emoji emoji26c4""></span> 我要扔掉手机这个炸弹<span class=""emoji emoji1f46f""></span><span class=""emoji emoji270b""></span>"
